"",bins_0_75,bins_1_75,bins_2_75,bins_3_75,bins_4_75,bins_5_75,bins_6_75,bins_7_75,Entry,Exit,outcome
319,528.0,35.0,12.0,16.0,19.0,3.0,2.0,17.0,True,False,True
320,3.0,4.0,55.0,4620.0,81.0,2.0,3.0,5.0,True,False,True
321,727.0,27.0,15.0,59.0,10.0,1.0,1.0,16.0,True,False,True
322,1.0,2.0,63.0,3941.0,40.0,2.0,3.0,3.0,True,False,True
323,604.0,21.0,6.0,25.0,14.0,2.0,2.0,16.0,True,False,True
324,2.0,7.0,98.0,3121.0,27.0,2.0,3.0,4.0,True,False,True
325,661.0,29.0,16.0,128.0,28.0,1.0,1.0,13.0,True,False,True
326,1.0,5.0,68.0,3138.0,26.0,2.0,3.0,4.0,True,False,True
327,517.0,46.0,5.0,3.0,1.0,0.0,6.0,1971.0,True,True,False
328,1.0,1.0,25.0,3788.0,44.0,1.0,1.0,5.0,True,False,False
